key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
286,February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
287,February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
288,January,Economy,UK,UK,247.62,BRITISH AIRWAYS,Strategic Director Border
289,January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
290,February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
291,January,Economy,UK,UK,68.5,BRITISH AIRWAYS,HROD
292,January,Economy,UK,UK,85.1,BMI,Strategic Director Border
293,February,Economy,UK,UK,104.63,BRITISH AIRWAYS,Strategic Director Border
294,January,Economy,UK,EEA,430.8,BRITISH AIRWAYS,Policy & Strategy
295,January,Economy,UK,UK,270.54,BRITISH AIRWAYS,HROD
296,January,Economy,UK,UK,125.5,BRITISH AIRWAYS,OSCT
297,January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border
298,January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border
299,January,Economy,UK,UK,176.55,BRITISH AIRWAYS,Strategic Director Border
300,January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group
301,January,Business Class,UK,UK,189.35,BRITISH AIRWAYS,Criminal & Detention Group
302,January,Economy,UK,UK,81.55,BRITISH AIRWAYS,Strategic Director Border
303,February,Economy,UK,UK,43.7,BRITISH AIRWAYS,OSCT
304,January,Economy,UK,UK,182.43,BRITISH AIRWAYS,Strategic Director Border
305,January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
306,February,Economy,UK,UK,20,BRITISH AIRWAYS,Strategic Director Border
307,January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border
308,January,Economy,UK,UK,130.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
309,January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border
