CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S1665,NYASAKA ISLAMIC SECONDARY SCHOOL,Mwanza,Lake,132,132,132,132,100,green,2.8221,4,5,190,153
S4733,ST MARGARET MARIA ALAKOK GIRLS SECONDARY SCHOOL,Tabora,Central,102,102,102,102,100,green,2.8271,4,5,191,201
S1093,ALDERSGATE SECONDARY SCHOOL,Manyara,Northern,106,106,106,106,100,green,2.8293,4,6,192,267
S0723,BOLOTI SECONDARY SCHOOL,Kilimanjaro,Northern,86,86,86,86,100,green,2.8321,4,5,193,232
S1449,EDEN GARDEN SECONDARY SCHOOL,Kilimanjaro,Northern,56,56,56,56,100,green,2.8337,4,5,194,189
S1008,ST.MAURUS CHEMCHEMI SECONDARY SCHOOL,Rukwa,Southern Highlands,118,118,118,118,100,green,2.8499,4,5,195,216
S0237,ST. AGNES CHIPOLE SECONDARY SCHOOL,Ruvuma,Southern Highlands,109,109,109,109,100,green,2.8509,4,5,196,208
S3239,MULEBA SECONDARY SCHOOL,Kagera,Lake,82,82,82,82,100,green,2.8529,4,5,197,187
S4135,MONTESSORI MARIA SECONDARY SCHOOL,Mwanza,Lake,50,50,50,50,100,green,2.853,4,5,198,233
S4039,ST. THERESA OF THE CHILD JESUS,Arusha,Northern,136,136,136,136,100,green,2.8576,4,5,199,162
S2178,GOLDEN RIDGE SECONDARY SCHOOL,Geita,Lake,126,126,126,126,100,green,2.8583,4,7,200,443
S5299,GRACIOUS SECONDARY SCHOOL,Kagera,Lake,40,40,40,40,100,green,2.86,4,,201,
S4294,KATOKE-LWERU SECONDARY SCHOOL,Kagera,Lake,68,68,68,68,100,green,2.8616,4,5,202,202
S0589,NYABIHORE SECONDARY SCHOOL,Mara ,Southern Highlands,99,99,99,99,100,green,2.8643,4,5,203,159
S5000,WAMA-NAKAYAMA  SECONDARY SCHOOL,Pwani,Coastal,73,70,69,69,99,green,2.8655,4,5,204,212
S0278,IGUMBILO SECONDARY SCHOOL,Mbeya,Southern Highlands,70,70,70,70,100,green,2.8659,4,4,205,110
S0387,KARAGWE SECONDARY SCHOOL,Kagera,Lake,115,115,115,115,100,green,2.8675,4,5,206,211
S0326,LUMUMBA SECONDARY SCHOOL,Unguja,Zanzibar,157,157,157,157,100,green,2.8709,4,4,207,95
S0250,MURIGHA SECONDARY SCHOOL,Singida,Central,66,66,66,66,100,green,2.8737,4,5,208,147
S0461,JOHN PAUL II KAHAMA SECONDARY SCHOOL,Shinyanga,Lake,142,141,141,141,100,green,2.8813,4,5,209,185
S1085,LAUREATE INTERNATIONAL SCHOOL,Unguja,Zanzibar,69,69,69,69,100,green,2.8879,4,5,210,141
S4700,LOUIS MONTFORT SECONDARY SCHOOL,Dar es Salaam,Coastal,48,48,48,48,100,green,2.8927,4,5,211,65
S0534,ST. ANTHONY'S SECONDARY SCHOOL,Dar es Salaam,Coastal,261,259,259,259,100,green,2.8932,4,5,212,182
S4719,ST. ALOIS SECONDARY SCHOOL,Njombe,Southern Highlands,55,54,54,54,100,green,2.8949,4,6,213,298
S4474,TANGA DON BOSCO TECHNICAL SCHOOL,Tanga,Northern,63,63,63,63,100,green,2.8957,4,5,214,180
S4408,KASSA CHARITY SECONDARY SCHOOL,Mwanza,Lake,84,84,84,84,100,green,2.8962,4,6,215,255
S0531,RUAHA SECONDARY SCHOOL,Iringa,Southern Highlands,81,81,81,81,100,green,2.8974,4,5,216,230
S0273,ST. AGNES KWIRO GIRLS SECONDARY SCHOOL,Morogoro,Southern Highlands,40,40,40,40,100,green,2.9,4,5,217,64
S0376,SONI SEMINARY,Tanga,Northern,42,42,42,42,100,green,2.9039,4,4,218,52
S2693,MWANDEGE BOYS SECONDARY SCHOOL,Pwani,Coastal,80,80,80,80,100,green,2.9057,4,4,219,134
S3539,ST.MARY'S MBEYA SECONDARY SCHOOL,Mbeya,Southern Highlands,64,64,64,64,100,green,2.9101,4,5,220,222
