Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,2284.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,285.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,11441.5,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,934.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,3552.0,
FCO,FCO,2010-04-23T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,5139.0,
FCO,FCO,2010-04-23T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162482,5056.15,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,1868.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,9340.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,2335.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,2335.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,3960.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,4670.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,1142.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,2802.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,1868.0,
FCO,FCO,2010-04-28T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,5306.01,
FCO,FCO,2010-04-28T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,-0.01,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,-2802.0,
FCO,FCO,2010-04-28T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI UK PLC,Active,1162828,2802.0,
FCO,FCO,2010-04-01T00:00:00Z,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,JOHNSON CONTROLS,Situation Normale,1160903,46545.0,
FCO,FCO,2010-04-13T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161688,73244.14,
FCO,FCO,2010-04-13T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161688,12817.72,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,31573.92,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,20636.25,
FCO,FCO,2010-04-14T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,Active,1161826,9136.78,
FCO,FCO,2010-04-14T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,Active,1161826,-0.01,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,-31573.92,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,-20636.25,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,31573.92,
FCO,FCO,2010-04-14T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1161826,20636.25,
FCO,FCO,2010-04-27T00:00:00Z,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1162619,8.92,
FCO,FCO,2010-04-27T00:00:00Z,Information Systems Maintenance,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1162619,37900.16,
FCO,FCO,2010-04-27T00:00:00Z,Information Systems Maintenance,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,Active,1162619,19021.44,
